nsga2_tet,nsga2_derivative,nsga2_infinite,nsga2_instability,nsga2_minmax,nsga2_ms,nsga2_hv,nsga2_time,less_tet,less_derivative,less_infinite,less_instability,less_minmax,less_ms,less_hv,less_time
0.35,0.48,0.48,0.55,0.48,0.01,0.91,53.03,0.35,0.6,0.6,0.47,0.6,0.0,0.77,2.05
0.41,0.53,0.53,0.62,0.54,0.0,0.85,51.92,0.35,0.6,0.6,0.47,0.6,0.0,0.77,2.04
0.37,0.49,0.49,0.57,0.49,0.0,0.89,51.83,0.36,0.61,0.61,0.48,0.61,0.0,0.76,2.42
0.35,0.48,0.48,0.55,0.48,0.0,0.9,52.97,0.36,0.61,0.61,0.49,0.61,0.0,0.77,1.99
0.37,0.5,0.5,0.58,0.5,0.01,0.89,49.61,0.35,0.6,0.6,0.48,0.6,0.0,0.77,2.01
0.4,0.52,0.52,0.6,0.52,0.0,0.87,51.13,0.35,0.6,0.6,0.48,0.6,0.0,0.76,2.0
0.36,0.49,0.49,0.56,0.49,0.0,0.91,51.21,0.33,0.58,0.58,0.45,0.58,0.0,0.77,2.19
0.37,0.49,0.49,0.57,0.49,0.01,0.91,50.75,0.38,0.62,0.62,0.51,0.62,0.0,0.77,2.15
0.37,0.5,0.49,0.57,0.5,0.0,0.89,52.66,0.36,0.61,0.61,0.48,0.61,0.0,0.76,2.1
0.38,0.5,0.5,0.58,0.51,0.0,0.87,52.67,0.36,0.61,0.61,0.48,0.6,0.0,0.77,2.18
0.38,0.5,0.5,0.58,0.51,0.01,0.88,52.61,0.36,0.61,0.61,0.49,0.61,0.0,0.77,2.21
0.37,0.5,0.5,0.57,0.5,0.0,0.9,53.34,0.36,0.61,0.61,0.48,0.61,0.0,0.76,2.14
0.36,0.49,0.49,0.56,0.49,0.01,0.88,52.87,0.34,0.59,0.59,0.46,0.59,0.0,0.77,2.11
0.33,0.45,0.45,0.52,0.46,0.0,0.92,53.52,0.34,0.6,0.6,0.47,0.59,0.0,0.77,2.05
0.39,0.51,0.51,0.59,0.51,0.0,0.89,55.62,0.36,0.61,0.61,0.49,0.61,0.0,0.77,2.08
0.34,0.47,0.47,0.54,0.48,0.0,0.91,53.57,0.38,0.63,0.63,0.51,0.62,0.0,0.77,2.18
0.4,0.52,0.52,0.6,0.52,0.0,0.9,53.91,0.36,0.61,0.61,0.48,0.61,0.0,0.77,2.08
0.36,0.48,0.48,0.56,0.49,0.01,0.89,53.3,0.34,0.59,0.59,0.46,0.59,0.0,0.77,2.12
0.35,0.48,0.48,0.55,0.49,0.02,0.91,53.89,0.38,0.62,0.62,0.51,0.62,0.0,0.77,2.17
0.38,0.5,0.5,0.58,0.51,0.03,0.89,52.96,0.35,0.6,0.6,0.47,0.6,0.0,0.77,2.02
