nsga3_tet,nsga3_derivative,nsga3_infinite,nsga3_instability,nsga3_minmax,nsga3_ms,nsga3_hv,nsga3_time
0.51,0.72,0.82,0.78,0.82,0.0,0.67,127.57
0.49,0.69,0.78,0.75,0.78,0.0,0.67,125.7
0.49,0.7,0.8,0.78,0.8,0.0,0.71,128.83
0.43,0.68,0.78,0.72,0.78,0.0,0.69,126.42
0.52,0.73,0.82,0.77,0.82,0.0,0.68,128.24
0.5,0.71,0.81,0.75,0.81,0.0,0.69,128.03
0.52,0.73,0.83,0.78,0.83,0.0,0.68,126.68
0.5,0.73,0.83,0.77,0.83,0.0,0.72,127.77
0.49,0.73,0.83,0.74,0.83,0.0,0.69,132.66
0.48,0.69,0.77,0.74,0.77,0.0,0.73,127.84
0.53,0.74,0.83,0.78,0.83,0.0,0.7,127.96
0.49,0.71,0.81,0.75,0.81,0.0,0.68,132.06
0.46,0.69,0.79,0.76,0.79,0.0,0.7,126.07
0.46,0.7,0.81,0.73,0.81,0.0,0.76,126.66
0.44,0.69,0.79,0.73,0.79,0.0,0.73,125.86
0.45,0.67,0.77,0.72,0.77,0.0,0.75,124.15
0.47,0.7,0.8,0.74,0.8,0.0,0.71,127.45
0.47,0.69,0.78,0.73,0.78,0.0,0.72,107.9
0.48,0.7,0.8,0.72,0.8,0.0,0.73,103.21
0.5,0.72,0.81,0.76,0.81,0.0,0.65,103.2
